Partner Type,Local District,Organization/ Agency,Contact Link,Address,Full Address,City,Zip code,Phone number,Description,id,lon,lat
Food,Various,Lutheran Social SVCS,https://www.lsssc.org/location/south-bay-long-beach/,1611 Pine Ave.,"1611 Pine Ave., Long Beach, 90813",Long Beach,90813,(562) 599-1321,"Food Pantry days and hours: Mon, Tues, & Thurs: 10:00 am - 2:00 pm and Wed: 11:00 am - 2:00 pm. Service is for South Bay and Long Beach residents only. Please bring ID and proof of all of the people living in the household.",50,-118.1927324,33.7874667
Food,Various,Mexican-American Opportunity Foundation,http://www.maof.org/maof-food-bank/,401 North Garfield Ave,"401 North Garfield Ave, Montebello, 90640",Montebello,90640,(323) 890-9600,Food pantry day and hours: Thursday: 9:00 a.m. - 1:00 p.m.. Must provide ID.,51,-118.1337091,34.0191654
Food,Various,NOLP / Claremont Foothill AIDS Project,https://aplahealth.org/services/nolp-food-pantries-nutrition/,233 West Harrison Ave,"233 West Harrison Ave, Claremont, 91711",Claremont,91711,(213) 201-1600,2nd Wednesday of the month from 2:00 p.m. - 4:00 p.m.. Must be HIV+ and enrolled in the program.,53,-117.7530956,34.0993921
Food,Various,NOLP / Lancaster Tarzana Treatment Center,https://aplahealth.org/services/nolp-food-pantries-nutrition/,320 East Palmdale Blvd,"320 East Palmdale Blvd, Palmdale, 93350",Palmdale,93350,(213) 201-1600,Open 1st and 3rd Thursday: 12:00 p.m. - 1:00 p.m.,54,-118.1239946,34.5795767
Food,Various,SA Mayflower Gardens Senior Living Community,https://mayflowergardens.org/residential-living/,6570 Ave. L-12,"6570 Ave. L-12, Quartz Hill, 93536",Quartz Hill,93536,(661) 943-3228,Senior living community. Provides grocery deliveries to seniros citizens living in the community. Intake by phone.,55,-118.2475289,34.647622
Food,Various,Salvation Army - Glendale,https://glendale-ca.salvationarmy.org/,300 East Angeleno Ave,"300 East Angeleno Ave, Burbank, 91502",Burbank,91502,(818) 246-5586,Mon-Fri: 12:00 p.m. - 3:00 p.m.. Must provide picture ID. If homeless no requirements.,56,-118.3058744,34.1812165
Food,Various,Salvation Army - Inglewood,https://inglewood.salvationarmy.org/inglewood_corps/,324 E. Queen St,"324 E. Queen St, Inglewood, 90301",Inglewood,90301,(310) 677-3375,"Food Pantry days and hours are: Mon., Wed., & Fri: 1:00 pm. - 4:00 pm. No ID is required.",57,-118.3509888,33.9627428
Food,Various,Salvation Army of Long Beach,https://www.salvationarmy-socal.org/southern-california/Contact,3000 Long Beach Blvd.,"3000 Long Beach Blvd., Long Beach, 90807",Long Beach,90807,(562) 247-3534 Quarantined Seniors call: 562-247-3528,"Services Provided Food Our Food Bank is OPEN. Here are our Hours: Mon-Wed-Fri 9:00 a.m - 4:00 p.m., (12-1 closed for lunch) - Thurs: 4:00 p.m. - 8:00 p.m.. We also are continuing to serve the Homeless with food bags on Tues: 9:00 a.m. - 4:00 p.m.. We are also delivering to self-quarantined seniors and those who cannot leave their homes. For deliveries, seniors and self-quarantined need to call: 562-247-3528.",58,-118.1892791,33.8123157
Food,Various,Salvation Army-Lancaster,https://foodoasis.la/food-pantry/salvation-army-lancaster-corp/,44517 Sierra Hwy.,"44517 Sierra Hwy., Lancaster, 93550",Lancaster,93550,(661) 948-3418,"Wednesdays: 10:00 am - 12:00 pm. Must call in advance for pick up and bring ID, proof of address, proof of income if available, and original birth certificates if there are any children in the household.",59,-118.136292,34.6915357
Food,Various,San Juan Diego Community Center,https://catholiccharitiesla.org/san-gabriel-region/,4171 N. Tyler Ave,"4171 N. Tyler Ave, El Monte, 91731",El Monte,91731,(626) 575-7652,Food pantry days and hours: Mon-Fri: 9:00 am - 12:00 pm. Must provide a picture ID.,60,-118.031897,34.0827886
Food,Various,Sheperd's Pantry,https://www.shepherdspantry.com/locations-services/,13020 Francisquito Ave.,"13020 Francisquito Ave., Baldwin Park, 91706",Baldwin Park,91706,(626) 671-0090,Food pantry day and hours: Friday: 4:00 pm - 7:00 pm. Drive thru pick. Must bring ID.,61,-117.9894113,34.0788213
Food,Various,Shepherd's Pantry,https://www.shepherdspantry.com/,"657 East Arrow Highway, Suite J","657 East Arrow Highway, Suite J, Glendora, 91740",Glendora,91740,(626) 852-7630,Wed-Thurs: 4:00 p.m. - 7:00 p.m.. Must provide Picture ID. Drive-thru pickup.,62,-117.8510611,34.1070744
Food,Various,SHIELDS for Families Social Service Agency - Lynwood,https://www.shieldsforfamilies.org/,11705 Deputy Yamamoto Pl,"11705 Deputy Yamamoto Pl, Lynwood, 90262",Lynwood,90262,(323) 242-5000,10:00 a.m. - 2:00 p.m.. Arrive early.,63,-118.2288143,33.9269035
Food,Various,St. Gregory Episcopal Church,http://stgregoryschurch.com/,6201 Willow St,"6201 Willow St, Long Beach, 90815",Long Beach,90815,(562) 420-1311,"Food Pantry day and hours: FIRST Wednesday of month: 9:30 am - 12:00 pm, or unitl food runs out. ID is required.",64,-118.1107591,33.8037303
Food,Various,The Asian Youth Center,https://www.asianyouthcenter.org/,100 Clary Ave,"100 Clary Ave, San Gabriel, 91776",San Gabriel,91776,(626) 309-0622,By appointment: Mon. - Fri.: 8:00 am - 5:00 pm.,65,-118.1003346,34.0976158
Food,Various,United Methodist Church,N/A,918 West Avenue J,"918 West Avenue J, Lancaster, 93534",Lancaster,93534,(661) 942-0419,Lunch provided Mondays and Thursdays: 12:00 p.m. (Meals to go only).,67,-118.1465086,34.68868
Food,NE,Loaves and Fishes,https://foodoasis.la/food-pantry/loaves-fishes-van-nuys/,14640 Keswick St.,"14640 Keswick St., Van Nuys, 91405",Van Nuys,91405,(818) 997-0943,"Due to the Covid-19 virus, the pantry is temporarily closed this time.",71,-118.4523836,34.2100138
Food,NE,Make It Happen,https://www.makingithappeninc.org/,11120 Ora Vista Ave,"11120 Ora Vista Ave, Sunland, 91040",Sunland,91040,(818) 398-6232,Food pantry day and hours: Saturday: 2:00 pm - until supplies run out. Grab and go meals: Sunday at 3:30 pm. No ID required.,72,-118.3154586,34.2713128
Food,NE,Meet Each Need with Dignity,https://mendpoverty.org/,10641 N. San Fernando Rd,"10641 N. San Fernando Rd, Pacoima, 91331",Pacoima,91331,(818) 896-0246,Fri: 9:00 a.m. - 11:00 a.m.. Open to the homeless community only.,73,-118.4195049,34.26308470000001
Food,NE,NOLP / North Hollywood,https://aplahealth.org/services/nolp-food-pantries-nutrition/,7336 Bellaire Avenue,"7336 Bellaire Avenue, North Hollywood, 91605",North Hollywood,91605,(213) 201-1600,Thurs: 10:30 a.m. - 5:30 p.m.,74,-118.4089623,34.2047177
Food,NE,Our Lady of the Holy Rosary Church,http://www.olhr.org/,7800 Vineland Ave.,"7800 Vineland Ave., Sun Valley, 91352",Sun Valley,91352,(818) 765-3350,"Food baskets: Tues. & Fri.: 9:00 am -11:00 am. Closed this Friday, 4/10 for Good Friday.",75,-118.3699123,34.2124742
Food,NE,RCCG Victory House of California,https://foodoasis.la/food-pantry/rccg-victory-house-of-california/,6640 Van Nuys Blvd.,"6640 Van Nuys Blvd., Van Nuys, 91411",Van Nuys,91411,(323) 385-4442,Please call for more information.,76,-118.448157,34.1918623
Food,NE,Salvation Army - Van Nuys,https://sanfernandovalley.salvationarmy.org/,6300 Sepulveda Blvd.,"6300 Sepulveda Blvd., Van Nuys, 91401",Van Nuys,91401,(818) 901-1154,Food and utility assistance; call for assistance. Temporarily closed.,77,-118.4656838,34.1850497
Food,NE,San Fernando Valley Rescue Mission,https://sfvrescuemission.org/,13422 Saticoy St.,"13422 Saticoy St., North Hollywood, 91605",North Hollywood,91605,(818) 785-4476,Call before going.,78,-118.425435,34.2085797
Food,NE,Sova Kosher Food Pantry,https://www.jfsla.org/SOVA,16439 Vanowen St.,"16439 Vanowen St., Van Nuys, 91405",Van Nuys,91405,(818) 988-7682,"Mon. - Thurs.:10:00 am - 1:30 pm and Sundays: 9:00 am - 12:00 pm. Please take ID and proof of residence. Please check their website for zipcodes they serve and bring birth certificates for children. They will be closed this Wednesday, 4/8 and next Wednesday and Thursday, 4/15 and 4/16 in observance of Passover.",79,-118.491725,34.1942489
Food,NE,St. Charles Service Center,http://www.scbnh.com/center.htm,10825 Moorpark St.,"10825 Moorpark St., North Hollywood, 91605",North Hollywood,91605,(818) 985-7365,Food Pantry days and hours: Tues. - Thurs. : 9:00 am. - 11:45 am. Please bring ID.,80,-118.3666293,34.150858
Food,NE,St. Ferdinand Outreach Center,http://stferdinandchurch.org/ministries/outreach-center,1040 Coronel St.,"1040 Coronel St., San Fernando, 91340",San Fernando,91340,(818) 365-3194,"Food pantry is open every 2nd and 4th Friday of the month: 9:00 am - 11:00 am at 1044 Pico Blvd. San Fernando, CA 91340. No ID or documentation required at this time.",81,-118.4437635,34.2811925
Food,NE,St. Vincent de Paul,N/A,7800 Vineland Blvd.,"7800 Vineland Blvd., Sun Valley, 91352",Sun Valley,91352,(818) 765-3350,Tues. and Fri.: 9:00 am -11:00 am. Services are on a walkin basis and no ID ir required at this time.,82,-118.3699123,34.2124742
Food,NE,VIC Food Pantry,https://nmvic.org/get-involved/food-pantry/,6514 Sylmar Ave.,"6514 Sylmar Ave., Van Nuys, 91401",Van Nuys,91401,(818) 781-1101,Call before going.,83,-118.4463236,34.1890986
Food,Various,Norwalk-La Mirada USD Preschool Program,https://www.nlmusdpreschool.org/apps/pages/index.jsp?uREC_ID=330986&type=d&pREC_ID=739127,12244 Rosecrans Ave,"12244 Rosecrans Ave, Norwalk, 90650",Norwalk,90650,(562) 210-4205 ext 4216,Assisting by providing meals parents can pick up.,84,-118.071389,33.9018691
Food,NW,Burbank – Temporary Aid Center- B-TAC,https://www.burbanktemporaryaidcenter.org/,1304 West Burbank Boulevard,"1304 West Burbank Boulevard, Burbank, 91506",Burbank,91506,(818) 848-2822,Call for more information.,85,-118.3260815,34.182529
Food,NW,"Catholic Charities of LA, Guadalupe Community Center",https://catholiccharitiesla.org/,21600 Hart St,"21600 Hart St, Canoga Park, 91303",Canoga Park,91303,(213) 251-3549,Mon. Wed. Fri. 9:00 a.m. - 12:00 p.m.. Once all food is gone they will be closed until further notice.,86,-118.6004808,34.1973598
Food,NW,Congregational Church of Chatsworth,http://www.chatsworthucc.org/,20440 Lassen Street,"20440 Lassen Street, Northridge, 91324",Northridge,91324,(818) 998-2931,Call for more information.,87,-118.578855,34.2496062
Food,NW,Family Rescue Center,https://www.rescatefamilycenter.org/,22103 Vanowen St.,"22103 Vanowen St., Canoga Park, 91303",Canoga Park,91303,(818) 884-7587,Call for more information.,88,-118.6085194,34.1941088
Food,NW,Freedom Church,https://www.freedom.church/,9200 Owensmouth,"9200 Owensmouth, Chatsworth, 91324",Chatsworth,91324,(818) 998-2931,Hosting grab & go FREE grocery pick up on Wednesdays from 12 pm to 2 pm.,89,-118.6011875,34.2371071
Food,NW,Guadalupe Community Center,https://www.lapl.org/stable-living/resource-centers/guadalupe-community-center,21600 Hart St.,"21600 Hart St., Canoga Park, 91303",Canoga Park,91303,(213) 251-3549,"Food Pantry days and hours: Mon., Wed., & Fri. : 9:00 am. - 12:00 pm. Free bread Mon. - Fri. : 9:00 am. - 12:00 pm. ID and proof of residence and income are required. Birth certificates for children in the household.",90,-118.6004808,34.1973598
Food,NW,House of Light Church Corporation,https://housesoflight.org/,19359 Londelius Street,"19359 Londelius Street, Northridge, 91324",Northridge,91324,(818) 998-2931,Food distribution is by drive thru only. Wednesdays from 1:00 pm. - 2:00 pm. and Saturdays from 7:00 am. - 8:00 am. No ID is required at this time.,91,-118.555687,34.2304267
Food,NW,Lutheran Social SVCS,https://www.lsssc.org/,6425 Tyrone Ave.,"6425 Tyrone Ave., Van Nuys, 91401",Van Nuys,91401,(818) 901-9480,"Food pantry is located at Lutheran Social Services at 7400 Tujunda Ave. North Hollywood, CA 91605. Hours and days are: Mon., Tues., & Fri.: 10:00 am. - 1:00 pm. No ID is required at this time.",92,-118.4446603,34.187126
Food,NW,North Valley Caring Services,https://www.nvcsinc.org/,15453 Rayen St.,"15453 Rayen St., North Hills, 91343",North Hills,91343,(818) 891-0481,Food pantry days and hours: Thus & Fri: 9:00 am - until supplies last. Please bring picture ID.,93,-118.4691285,34.2322081
Food,NW,Sova Kosher Food Pantry / Metro,https://www.jfsla.org/SOVA,16439 Vanowen St.,"16439 Vanowen St., Van Nuys, 91401",Van Nuys,91401,(818) 988-7682,"Mon. - Thurs.: 10:00 am- 1:30 pm, Sat: 9:00 am - 12:00 pm. Bring ID and Birth certificates for children. Please check their website for zipcodes they serve and bring birth certificates for children. They will be closed this Wednesday, 4/8 and next Wednesday and Thursday, 4/15 and 4/16 in observance of Passover.",94,-118.491725,34.1942489
Food,NW,Valley Park Church,https://valleyparkchurch.com/,16154 Nordhoff St.,"16154 Nordhoff St., North Hills, 91343",North Hills,91343,(818) 894-9316,"Food pantry is located at Lutheran Social Services at 7400 Tujunda Ave. North Hollywood, CA 91605. Hours and days are: Mon., Tues., & Fri.: 10:00 am. - 1:00 pm. No ID is required at this time.",95,-118.4845808,34.235259
