Partner Type,Local District,Organization/ Agency,Contact Link,Address,City,Zip code,Phone number,Description,id
Financial,Various,Paid Family Leave,https://edd.ca.gov/Disability/How_to_File_a_PFL_Claim_in_SDI_Online.htm,Check website for information that will make it easier to understand what resources are available.,NA,NA,NA,NA,192
Financial,Various,Tax Assistance,https://edd.ca.gov/about_edd/coronavirus-2019.htm?fbclid=IwAR3vS9NqAlxiZJtKT21dJSoMSvV-klMlSK2nvPGzA2v8FHeglkS4YKrLh78,Check website for information that will make it easier to understand what resources are available.,NA,NA,NA,NA,193
Financial,Various,Unemployment,https://edd.ca.gov/Unemployment/Filing_a_Claim.htm,Check website for information that will make it easier to understand what resources are available.,NA,NA,NA,NA,195
Financial,Various,Worker's Compensation,https://www.edd.ca.gov/office_locator/,Check website for information that will make it easier to understand what resources are available.,NA,NA,NA,NA,196
Other,Various,Center for Disease Control and Prevention,https://www.cdc.gov/coronavirus/2019-ncov/index.html,Check website for more information,NA,NA,(800) 232-4636,Provides the latest information & resources on coronavirus.,197
Other,Various,LA County Office of Education,https://achieve.lausd.net/site/handlers/filedownload.ashx?moduleinstanceid=22573&dataid=24307&FileName=East.pdf,NA,NA,NA,(310) 963-2129 - cell,"Child Welfare and Attendance: Can answer questions on interdistrict appeals, attendance, school closure ADA, State SARB resources.",198
Other,Various,National Association of School Nurses,https://www.nasn.org/nasn/nasn-resources/practice-topics/covid19?utm_source=Slider&utm_medium=WWWSite&utm_campaign=COVID-19-Resources,Check website for more information,NA,NA,(240) 821-1130,"Provides useful coronavirus resources for school nurses and the broader school community,",199
Other,Various,National Center for Homeless Education,https://nche.ed.gov/covid-19-coronavirus-information/,Check website for more information,NA,NA,(800) 308-2145,Check website for more information.,200
Other,Various,U.S. Department of Agriculture,https://www.usda.gov/coronavirus,Check website for more information,NA,NA,(202) 720-2791,"Resources for the general public, schools, and other public systems to help inform their coronavirus response efforts.",201
Other,Various,U.S. Department of Education,https://www.ed.gov/coronavirus,Check website for more information,NA,NA,(800) 872-5327,"Resources for elementary and secondary schools, and institutions of higher education to help inform their coronavirus response efforts.",202
Other,Various,"U.S. Department of Labor, Wage and Hour Division",https://www.ed.gov/coronavirus,NA,NA,NA,(213) 430-9368,"The Wage and Hour Division (WHD) enforces federal minimum wage, overtime pay, recordkeeping, and child labor requirements of the Fair Labor Standards Act. WHD also enforces the Migrant and Seasonal Agricultural Worker Protection Act, the Employee Polygraph Protection Act, the Family and Medical Leave Act, wage garnishment provisions of the Consumer Credit Protection Act, and a number of employment standards and worker protections as provided in several immigration related statutes.",203
Other,Various,U.S. Interagency Council on Homelessness,https://www.usich.gov/covid-19/,Check website for more information,NA,NA,(202) 708-4663,"Webpage draws from CDC recommendations for homelessness services systems, schools, and others about how to protect their staff, clients, and guests.",204
Other,Various,LAUSD: Personalized Learning Systems (PLS),https://achieve.lausd.net/plsonlinelearning,NA,NA,NA,NA,"Information on accessing Schoology for parents, teachers, and students.",205
Mental Health,Various,Brain Pop,https://www.brainpop.com/health/diseasesinjuriesandconditions/coronavirus/,NA,NA,NA,NA,Video exploring Coronavirus,272
Mental Health,Various,California Youth Crisis Line,https://calyouth.org/cycl/,NA,NA,NA,1-800-843-5200,Call or Text,273
Mental Health,Various,Crime Surviors Resource Guides,https://dev--crimesurvivors.netlify.app/,NA,NA,NA,NA,"More information under ""website"".",274
Mental Health,Various,National Association of School Psychologist,https://www.nasponline.org/resources-and-publications/resources-and-podcasts/school-climate-safety-and-crisis/health-crisis-resources/helping-children-cope-with-changes-resulting-from-covid-19?fbclid=IwAR0SJE6wIDqC0jy6MPuGcpGU9OEWa5AWKV7a-TkSbLU2QkROOf5AqePol8U,NA,NA,NA,NA,National Association of School Psychologists: Talking to Children About COVID-19 (Coronavirus),275
Mental Health,Various,NPR,https://www.npr.org/sections/goatsandsoda/2020/02/28/809580453/just-for-kids-a-comic-exploring-the-new-coronavirus,NA,NA,NA,NA,A comic exploring the Coronavirus,276
Mental Health,Various,Stay Home with Candlewick,https://stayhome.candlewick.com/,NA,NA,NA,NA,A book about the Coronavirus,277
Mental Health,Various,1in6 National Helpline for Men,For support group: https://supportgroup.1in6.org/ For individual help: https://1in6.org/helpline,NA,NA,NA,NA,"Information and referral resources for male survivors of sexual abuse and assault. Free 24x7 online chat-based helpline and daily clinically facilitated online support groups, Monday through Friday.",327
Mental Health,Various,Alcoholics Anonymous,https://www.aa.org/,Check website for nearest location Click on phone number link for chat,NA,NA,https://aa-intergroup.org/directory.php,Resources and online information .,328
Mental Health,Various,Behavioral Health Institute,N/A,NA,NA,NA,(310) 328-1587,"Outpatient, DUI, DV, Family Preservation, Preventions",330
Mental Health,Various,"Bienestar Human Services, Inc.",https://www.bienestar.org/about-us/,Check website for nearest location,NA,NA,(866) 590-6411,Online only: New Dawn Program (outpatient services - males only) Individual mental health therapy and substance abuse counseling,331
Mental Health,Various,Center for Disease Control and Prevention: Covid 19 Mental Health,https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/managing-stress-anxiety.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprepare%2Fmanaging-stress-anxiety.html,Check website for nearest location,NA,NA,(800) 232-4636,Offers information on how to manage anxiety and stress during Covid-19.,333
Mental Health,Various,Center for Disease Control and Prevention: Support Children,https://www.cdc.gov/childrenindisasters/helping-children-cope.html,Check website for nearest location,NA,NA,(800) 232-4636,"Offers information on how to support children, manage thier anxiety and stress during national emergencies or disasters.",334
Mental Health,Various,Centinela Youth Service,https://www.cys-la.org/,NA,NA,NA,(310) 970-7702,Diversion/Mediation/Counseling & Referral (12-18 yrs),335
Mental Health,Various,Children's Bureau,https://www.all4kids.org/our-locations/,Check website for nearest location.,NA,NA,(213) 422-4547,Mental Health Services for Children & Adolescents 0-21 years. Telehealth.,336
Mental Health,Various,"Children's Institute, Inc.",https://www.childrensinstitute.org/contact/,Check website for nearest location.,NA,NA,(213) 260-7604 or (310) 431-1494,"Family functioning services which include therapy services for fathers, children, families, available online.",337
Mental Health,Various,"Damon's Center for Grief, Loss & Trauma",N/A,NA,NA,NA,(213) 924-3510,Consultations and/or Workshops for grief and loss or Music Therapy,338
Mental Health,Various,Department of Mental Health,https://dmh.lacounty.gov/covid-19-information/,Check website for nearest location,NA,NA,NA,Various resources available on website.,339
Mental Health,Various,Didi Hirsch Mental Health Services,https://didihirsch.org/about-us/locations/,",",NA,NA,(310) 390-6612 or (888) 807-7250,"Individual therapy for adults and children. Substance abuse program for adolescents; psychiatric services, and medication support, residential treatment centers for adults. Some centers are temporarily open for crisis situations only. Accepts Medi-Cal and is open for intake. All services provided via tele health.",340
Mental Health,Various,Each Mind Matters,https://www.eachmindmatters.org/,Check website for resources,NA,NA,NA,Various resources available on website.,341
Mental Health,Various,El Nido Family Centers,https://www.elnidofamilycenters.org/how-you-can-help/contact-us/,Check website for locations.,NA,NA,(818) 683-4017,"We are still helping families connect to resources, but we are telecommuting. Case Management, Referrals to Resources, Parenting, Youth Development.",342
Mental Health,Various,Heritage Clinic,https://heritageclinic.org/,Check website for locations.,NA,NA,(626) 577-8978,"As a community mental health provider for low income, older adults, Heritage Clinic is an essential service and available now to accept new referrals and assist anyone with help finding resources.",344
Mental Health,Various,La Vida Counseling Center,https://www.lavidacounselingcenter.com/,Check website for locations.,NA,NA,(714) 883-9156,Therapy - also providing telehealth.,345
Mental Health,Various,LAHSA,https://www.lahsa.org/news?article=686-covid-19-mental-health-resources,NA,NA,NA,NA,Mental Health ACCESS Center 24/7 Helpline,346
Mental Health,Various,Mental Health and Social Justice Clinic,N/A,NA,NA,NA,(213) 634-0044,"Evaluations and Individual, Group, and Family Counseling. Also assisting online.",349
Mental Health,Various,National Alliance on Mental Illness (NAMI),https://www.nami.org/About-NAMI/NAMI-News/2020/NAMI-Updates-on-the-Coronavirus,Check website for nearest location,NA,NA,(800) 950-6264,"Provides advocacy, education, support and public awareness so that all individuals and families affected by mental illness can build better lives.",350
Mental Health,Various,Penny Lane TAY Centers,https://www.pennylane.org/pennylane/transitional-age-youth-tay-drop-in-center/,Check website for nearest location,NA,NA,NA,"TAY Drop in centers offer: clothing, showers, meals, social activities, mental health support, educational services and much more.",352
Mental Health,Various,SAMSHA,https://store.samhsa.gov/product/Coping-with-Stress-During-Infectious-Disease-Outbreaks/sma14-4885,National,NA,NA,NA,Offers mental health coping skills.,354
Mental Health,Various,Teen Line,https://teenlineonline.org/,NA,NA,NA,310-855-4673,"Teen Line hotline staffed by trained teens and supervised by mental health professionals is OPEN from Mon-Sun: 6:00 p.m. - 9:00 p.m., for youth to talk about their struggles with a teen. Text 'TEEN' to 839863 or email our hotline.",357
Mental Health,Various,Volunteers of America Los Angeles-SAMHSA Family Tree,https://voala.org/,NA,NA,NA,(213) 215-1860,"A comprehensive and multisystem family approach to provide youth, transitional age youth and their families/primary caregivers with a Substance use disorder or co-occurring disorder who reside in LA County, assessments, evidence-based substance use disorder or co-occurring disorder education, early intervention and treatment, peer recovery support, and coordination of case management and wraparound supportive services. This program serves both SPA 6 and SPA 3.",358
Legal,Various,Orange County Sheriff Dept,https://www.ocsd.org/divisions/fieldops/investigations/cib/svd,NA,NA,NA,(714) 288-6742 - dispatch (714) 949-1919 - cell,Investigation for any type of sexual assault within OCSD jurisdiction,370
Legal,Various,Valley Oasis,http://www.valleyoasis.org/index.php,NA,NA,NA,(661) 942-2758 ext 516 - ofc (661) 485-0014 - cell,"Still operating some service, and telecommuting. DV Shelter (65) beds, but not accepting new clients at the moment. Case management continues, we also have our SARS program that is in operation, CalWorks program, working remotely, and our Homeless programs are all still being worked remotely. Our Outreach Team is boots on the ground for the moment.",374
Legal,Various,Waymakers-Victim Witness Assistance Program,https://waymakersoc.org/supporting-victims/,NA,NA,NA,(949) 697-5728,"Case updates, Mary's Laws, Victims of Crime application.",375
Legal,NW / NE,San Fernando Valley DV Task Force,N/A,NA,NA,NA,(213) 700-5487,Collaborative networking and cross-training between service providers working in the San Fernando Valley with people impacted by domestic.,379
Legal,Various,Catholic Charities of LA,https://catholiccharitiesla.org/,NA,NA,NA,(213) 318-5725 or (213) 318-5719,Comprehensive case management services for foreign born victims of human trafficking (adults and minors). Employment readiness support services to victims of human trafficking (U.S. born as well as foreign born).,381
Legal,Various,LAHSA,https://www.lahsa.org/news?article=684-covid-19-domestic-violence-human-trafficking-and-stalking-resources,Check website for more information and locations,NA,NA,NA,Social distancing may leave many more vulnerable to experiencing abuse in the home. Support is still available for you or anyone experiencing domestic violence. The hotlines and resources are available to take your call. Please see website.,387
Legal,Various,Two Wings,https://www.withtwowings.org/,NA,NA,NA,(917) 513-0498,"We are providing a Survivor Sister Support Line and Virtual Group Meetings for those who are in need of emotional support, guidance, and resources.",393
Physical Health,Various,Anthem Blue Cross,https://ir.antheminc.com/news-releases/news-release-details/anthem-waives-cost-share-covid-19-treatment?field_nir_news_date_value%5bmin%5d=,Check website for nearest location,NA,NA,(747) 228-7480,"Members undergoing treatment related to a COVID-19 diagnosis the cost share is waived for Anthem’s affiliated health plan fully insured, Individual, Medicaid and Medicare Advantage members.",436
Physical Health,Various,Benevolence Community Clinics,https://www.bhchealth.org/,NA,NA,NA,(323)732-0100 ext 780,Telehealth,439
Physical Health,Various,"Bienestar Human Services, Inc.",https://www.bienestar.org/about-us/,Check website for nearest location,NA,NA,(866) 590-6411,"Syringe exchange: Mon: 10:00 a.m. - 2:00 p.m., Tues-Wed: 2:00 p.m. - 6:00 p.m., Fri: 10:00 a.m. -2:00 p.m..",440
Physical Health,Various,DPSS: Medi-Cal,http://dpss.lacounty.gov/wps/portal/dpss/main/programs-and-services/health-care/!ut/p/b1/04_SjzQ3Mje0MLE0tdSP0I_KSyzLTE8syczPS8wB8aPM4t0MDAzc_Z2Cjdx9gExH_wAnb6-wQAMTMxOggkhkBQa-YW4GnkGGxr5O7uZGFmGGhPR76Uel5-QnAa0K149CVYzFLLACAxzA0UDfzyM_N1U_NyrHIjvLRBEAMP1qgg!!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0YwMDBHT0JTMjBFNkEwQU9TSjFVOEsxUzcz/,NA,NA,NA,NA,"All DPSS offices are temporarily closed to the public until further notice; however, they are continuing to provide services through their website and call centers. Services are for new and existing clients. Medi-Cal.",459
Physical Health,Various,Health Net,https://www.healthnet.com/,Check website for nearest location,NA,NA,(323)-219-3441,"Medicare Advantage Plans with the following benefits included: Transportation, Life Alert, Vision services for glasses, Dental, Over the Counter Allowance, Chiropractor & Acupuncture Services, Meals following discharge from an inpatient facility, and much more.",460
Physical Health,Various,Los Angeles County Tuberculosis Control Program,http://ph.lacounty.gov/tb/docs/TBClinics2017.pdf,Check website for nearest location,NA,NA,(213) 745-0803,"TB screening, testing and treatment",461
Physical Health,Various,MyHealth LA,http://dhs.lacounty.gov/wps/portal/dhs/mhla,Check website for nearest location,NA,NA,NA,"No cost primary health care program for families and individuals who live in Los Angeles County, who are not eligible for health insurance/full scope Medi-Cal.",462
Physical Health,Various,Prototypes Women's Center,https://www.prototypes.org/wp-content/uploads/Outpatient-Behavioral-Health-Brochure-.pdf,Check website for nearest location,NA,NA,(909) 634-2950 ext. 2849,Residential substance use disorder services for women 18+ inlcuding pregnant and parenting women with Medi-Cal. Residents can stay up to 90 days and participate in individual and group counseling to help reduce their SUD issues.,464
Physical Health,Various,Remita Health,https://remitahealth.com/,Check website for nearest location,NA,NA,(562) 367-5126,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,465
Housing,C,Los Angeles County Department of Mental Health - SA4 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(213) 629-6207 - cell (213) 256-3022,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",505
Housing,C,Transition House VOA (T- House),https://voala.org/program/transition-house-t-house/,NA,NA,NA,NA,"Transitional housing/affordable housing program. See link unnder ""website"" for details",508
Housing,E,Los Angeles County Department of Mental Health - SA7 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(213) 924­-3982,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",510
Housing,Various,Los Angeles County Department of Mental Health - SA1 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(661) 223-3842,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",516
Housing,Various,Los Angeles County Department of Mental Health - SA3 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(626) 430-2919,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",517
Housing,Various,Los Angeles County Department of Mental Health - SA8 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(562) 256-7717,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",518
Housing,NW,Hope Of The Valley,https://www.hopeofthevalley.org/,Confidential- please call contact number for more information.,NA,NA,(818) 257-8521,52 bed co-ed shelter.,524
Housing,S,Los Angeles County Department of Mental Health - SA6 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(310)668-4833,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",532
Housing,S,US Veterans,N/A,NA,NA,NA,(562) 200-7303,"No longer taking walk ups. Pick up locations for shelter is daily at 14th Street Park at Cedar Ave and 14th st., Long Beach 90813 at 5:00 pm and 7:00 pm.",535
Housing,Various,1736,http://www.1736familycrisiscenter.org/services.html,"2116 Arlington Ave. Los Angeles, 90018",NA,NA,NA,"Offers emergency shelter for youth, TAY, and survivors of dometic violence. Mental health, parending education, and financial literacy programs. Due to Covid-19 they are currently not screening any new clients at this time. May resume screening and intake, starting 7/10/20.",536
Housing,Various,211 LA County,https://www.211la.org/,24-hour Hotline and Screening: (800) 339-6993 or 2-1-1,NA,NA,NA,"Shelter listings, rental assistance, mortgage assistance, landlord/tenant concerns, general dispute mediation, home maintenance, subsidized section 8 housing, rental listings.",537
Housing,Various,Casa Youth Shelter,https://casayouthshelter.org/contact/,NA,NA,NA,(800) 914-CASA (2272),"Casa Youth Shelter is Open For 24/7 crisis call support or intake, please call (800) 914-CASA (2272).",538
Housing,Various,Domestic Violence,https://www.fhfa.gov/Homeownersbuyer/MortgageAssistance,Call phone number and check websie for more information,NA,NA,(800) 799-7233,For those in an unsafe home situation or need help.,539
Housing,Various,Federal Housing Finance Agency,https://www.fhfa.gov/Homeownersbuyer/MortgageAssistance,Check website for more information or call 1-800-CALL-FHA (1-800-225-5342),NA,NA,NA,"Fannie Mae, Freddie Mac & Federal Home Loan Banks are helping people who have been impacted by the coronavirus.",540
Housing,Various,LAHSA: Interim Housing,https://www.lahsa.org/documents?id=2196-lahsa-interim-housing-list.pdf,Check website for locations and more information,NA,NA,NA,"Offering crisis/bridge housing for families, individuals, and adults.",543
Housing,Various,LAHSA: Project Room Key,https://www.lahsa.org/news?article=705-project-roomkey,Please see wesite for locations and eligibility.,NA,NA,NA,Temporary shelters for our unhoused populations and medical sheltering for people infected with COVID-19 or are vulnerable to infection.,544
Housing,Various,LAHSA: Winter Shelters,https://www.lahsa.org/documents?id=2626-2019-2020-lahsa-winter-shelter-program-list.pdf,Check website for locations and more information,NA,NA,(800) 548-6047,"Winter Shelter Hotline available 24 hours a day, seven days a week.",545
Housing,Various,Our Children LA WIN APP,https://www.ourchildrenla.org/win-app/,NA,NA,NA,NA,A free mobile and web app designed to connect those experiencing homelessness to essential services,547
Housing,Various,Our House,https://familyassist.org/contact/individuals/,Please check website for contact information on the youth crisis center and drop in center,NA,NA,NA,Offer shelter services for youth,548
Housing,Various,Safe Parking LA,https://www.safeparkingla.org/,Check website for more information,NA,NA,(323) 210-3375,Offering safe parking space for individuals living in their cars.,550
Housing,Various,Safehouse,https://www.safehousecenter.org/domestic-violence/emergency-shelter/,NA,NA,NA,734-995-5444,Offers shelter for survivors of domestic violence and their children,551
Housing,Various,Storefront,https://sdyouthservices.org/what_we_do/services/homeless-housing-and-support-services/youth-emergency-shelter/,24-hour Crisis Hotline and Eligibility Screening: (866) 752-2327 or (866) Place-2-Stay,NA,NA,NA,Offer shelter services for youth,552
Housing,Various,The Los Angeles Tenants Union,https://latenantsunion.org/en/locals/,Check website for more information,NA,NA,(213) 986-8266,Offers support around evictions. Find your local union by clicking the link.,553
Housing,Various,Waymakers,https://waymakersoc.org/sheltering-children/,Various Locations,NA,NA,NA,Check website for information of youth shelter locations,554
Housing,W,Los Angeles County Department of Mental Health - SA5 Housing Navigator,http://file.lacounty.gov/SDSInter/dmh/1058116_SANavigatorContactList_Revised5-15-19.pdf,NA,NA,NA,(310) 482-6613,"Emergency Housing Referrals, Homeless Services/ Resource Referrals, Coordination of Permanent Housing Placement",560
Housing,W,Sojourn Domestic Violence Services,https://www.thepeopleconcern.org/sojourn/,Check website for locations and more information,NA,NA,(310) 264-6644,"No support groups available, however hotline is open",566
Housing,W,Youth Emerging Stronger (YES),https://www.youthemergingstronger.org/,NA,NA,NA,(323) 240-2253 or (323) 366-2450,"Emergency shelter and transitional living residence, and permament supportive housing for homeless youth.",569
Housing,Various,Los Angeles Housing and Community Investment Dept,https://hcidla2.lacity.org/covid-19-renter-protections,NA,NA,NA,(866) 557-7368,"Provides information regarding eviction protections, tenants rights regarding temporary moratorium due to COVID-19.",571
Housing,Various,Various Providers,https://www.lahsa.org/documents?id=2626-2019-2020-lahsa-winter-shelter-program-list.pdf,NA,NA,NA,(800) 548-6047,"Please see the attached PDF under ""Contact Link"". Included has the most updated information from LAHSA, regarding winter shelter housing and extended programs, including all pick-up time and locations. Many are no longer taking walk-ins, due to COVID-19. Many winter shelter programs have been extended to September 2020.",572
